Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Subject,Recorded_Message_Or_Robocall
7174070493,2018-03-01 00:00:37,2018-02-26 11:59:00,Tualatin,Oregon,Medical  & prescriptions,Y
6606513704,2018-03-01 00:00:40,2018-02-28 13:26:00,Higbee,Missouri,"Lotteries, prizes  & sweepstakes",N
5419557800,2018-03-01 00:00:45,2018-02-28 15:04:00,raytown,Missouri,"Reducing your debt (credit cards, mortgage, student loans)",Y
8442052138,2018-03-01 00:01:46,2018-02-28 10:58:00,raytown,Missouri,"Reducing your debt (credit cards, mortgage, student loans)",Y
9364436472,2018-03-01 00:01:53,2018-02-16 04:12:00,,Texas,No Subject Provided,N
8442071532,2018-03-01 00:01:59,2018-02-28 18:40:00,Great Falls,Montana,Computer  & technical support,Y
9182440666,2018-03-01 00:02:11,2018-02-28 14:46:00,Tualatin,Oregon,Dropped call or no message,Y
2133061510,2018-03-01 00:03:00,2018-02-28 10:01:00,Berkeley,California,"Reducing your debt (credit cards, mortgage, student loans)",Y
2292253050,2018-03-01 00:03:09,2018-02-28 12:55:00,Thomasville,Georgia,No Subject Provided,Y
7143332910,2018-03-01 00:03:19,2018-02-28 13:28:00,LAKEWOOD,Washington,Medical  & prescriptions,N
9183526268,2018-03-01 00:03:26,2018-02-13 09:38:00,,Texas,No Subject Provided,N
8176769695,2018-03-01 00:04:09,2018-02-28 15:47:00,,Texas,No Subject Provided,Y
6176120796,2018-03-01 00:04:09,2018-02-27 12:25:00,Framingham,Massachusetts,Other,Y
7634494915,2018-03-01 00:05:22,2018-02-27 18:36:00,,Connecticut,No Subject Provided,Y
3162189522,2018-03-01 00:05:46,2018-02-28 16:10:00,Appleton,Wisconsin,No Subject Provided,Y
3158880845,2018-03-01 00:06:23,2018-02-27 10:38:00,Valley Village,California,"Calls pretending to be government, businesses, or family and friends",Y
5622174368,2018-03-01 00:06:27,2018-02-28 12:15:00,,California,Medical  & prescriptions,N
