Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Subject,Recorded_Message_Or_Robocall
2512323070,2018-02-28 00:00:22,2018-02-27 10:21:00,Mobile,Alabama,"Reducing your debt (credit cards, mortgage, student loans)",Y
9712297823,2018-02-28 00:00:42,2018-02-27 20:50:00,Coquille,Oregon,Dropped call or no message,Y
9082496550,2018-02-28 00:00:46,2018-02-27 15:57:00,roselle park,New Jersey,Dropped call or no message,Y
2563324803,2018-02-28 00:01:03,2018-02-27 15:55:00,Russellville,Alabama,Dropped call or no message,Y
2568530280,2018-02-28 00:02:16,2018-02-27 12:10:00,Russellville,Alabama,Dropped call or no message,Y
5413964878,2018-02-28 00:02:55,2018-02-27 18:58:00,Coquille,Oregon,Dropped call or no message,Y
7703290126,2018-02-28 00:03:48,2018-02-27 16:40:00,Gainesville,Georgia,"Reducing your debt (credit cards, mortgage, student loans)",Y
4156083629,2018-02-28 00:04:10,2018-02-27 14:50:00,,California,No Subject Provided,Y
9083586841,2018-02-28 00:04:14,2018-02-22 12:29:00,roselle park,New Jersey,Dropped call or no message,Y
5033891507,2018-02-28 00:06:02,2018-02-22 11:58:00,Coquille,Oregon,No Subject Provided,Y
8026130527,2018-02-28 00:08:15,2018-02-22 10:06:00,Coquille,Oregon,No Subject Provided,N
7249632048,2018-02-28 00:12:28,2018-02-27 23:33:00,,Pennsylvania,No Subject Provided,Y
2055611977,2018-02-28 00:33:12,2018-02-12 14:37:00,,Alabama,No Subject Provided,Y
2055611977,2018-02-28 00:33:13,2018-02-12 14:37:00,,Alabama,No Subject Provided,Y
2056448604,2018-02-28 00:41:57,2018-02-19 14:05:00,,Alabama,No Subject Provided,Y
5752161764,2018-02-28 00:50:23,2018-02-25 15:15:00,,South Carolina,No Subject Provided,Y
4877453934,2018-02-28 00:52:19,2018-02-20 15:19:00,,Alabama,No Subject Provided,Y
3523081254,2018-02-28 00:54:27,2018-02-25 15:00:00,,South Carolina,No Subject Provided,Y
5133031792,2018-02-28 01:33:33,2018-02-25 14:05:00,,South Carolina,No Subject Provided,Y
9202458767,2018-02-28 01:38:03,2018-02-25 13:00:00,,South Carolina,No Subject Provided,Y
,2018-02-28 01:39:57,2018-02-27 17:17:00,,California,No Subject Provided,N
9567049868,2018-02-28 01:40:14,2018-02-27 13:52:00,Beaumont,Texas,"Reducing your debt (credit cards, mortgage, student loans)",Y
8133008792,2018-02-28 01:45:35,2018-02-27 11:46:00,Sneads Ferry,North Carolina,No Subject Provided,Y
3235195631,2018-02-28 01:46:52,2018-02-27 13:33:00,,California,No Subject Provided,Y
8133003004,2018-02-28 01:46:58,2018-02-26 15:52:00,Sneads Ferry,Florida,No Subject Provided,N
4079794954,2018-02-28 01:48:39,2018-02-23 11:52:00,Sneads Ferry,Florida,No Subject Provided,N
3212388629,2018-02-28 01:49:31,2018-02-22 16:21:00,Sneads Ferry,Florida,No Subject Provided,N
7573829143,2018-02-28 01:13:44,2018-02-27 00:00:00,,Virginia,No Subject Provided,N
,2018-02-28 01:15:48,2018-02-27 22:32:00,,Florida,No Subject Provided,Y
,2018-02-28 01:50:52,2018-02-27 22:30:00,,California,Dropped call or no message,Y
5233282629,2018-02-28 01:51:36,2018-02-27 22:28:00,Woodinville,Washington,Computer  & technical support,N
5852005483,2018-02-28 01:51:39,2018-02-21 10:49:00,Sneads Ferry,Florida,No Subject Provided,Y
8005315000,2018-02-28 01:52:50,2018-02-20 12:41:00,Sneads Ferry,Florida,No Subject Provided,N
5235515559,2018-02-28 01:52:52,2018-02-27 21:31:00,Woodinville,Washington,No Subject Provided,N
8508882110,2018-02-28 01:53:42,2018-02-19 12:28:00,Sneads Ferry,Florida,No Subject Provided,N
5238879014,2018-02-28 01:53:44,2018-02-27 19:56:00,Woodinville,Washington,Computer  & technical support,N
9492157857,2018-02-28 01:54:36,2018-02-26 17:00:00,laguna niguel,California,Vacation  & timeshares,Y
9045622785,2018-02-28 01:54:37,2018-02-19 09:15:00,Sneads Ferry,Florida,No Subject Provided,N
9045622785,2018-02-28 01:55:17,2018-02-19 09:15:00,Sneads Ferry,Florida,No Subject Provided,N
4086856034,2018-02-28 01:55:31,2018-02-27 07:58:00,San Jose,California,"Calls pretending to be government, businesses, or family and friends",Y
8133004765,2018-02-28 01:56:05,2018-02-17 15:13:00,Sneads Ferry,Florida,No Subject Provided,N
2404489515,2018-02-28 01:56:11,2018-02-27 00:00:00,Clarksburg,Maryland,Vacation  & timeshares,N
5103198321,2018-02-28 01:56:43,2018-02-27 21:01:00,San Jose,California,"Lotteries, prizes  & sweepstakes",Y
7725775405,2018-02-28 01:57:00,2018-02-16 13:26:00,Sneads Ferry,Florida,No Subject Provided,N
8005671314,2018-02-28 01:57:08,2018-02-27 12:00:00,,Maryland,Other,N
3239361363,2018-02-28 01:57:11,2018-02-27 10:38:00,,California,No Subject Provided,N
8133006226,2018-02-28 01:57:36,2018-02-11 10:30:00,Sneads Ferry,Florida,No Subject Provided,N
8133070589,2018-02-28 01:58:24,2018-02-09 15:25:00,Sneads Ferry,Florida,No Subject Provided,N
9412512568,2018-02-28 01:59:06,2018-02-09 10:21:00,Sneads Ferry,Florida,No Subject Provided,N
8137039091,2018-02-28 01:59:47,2018-02-07 09:35:00,Sneads Ferry,Florida,No Subject Provided,N
7272825660,2018-02-28 02:00:27,2018-02-01 17:52:00,Sneads Ferry,Florida,No Subject Provided,N
3233192389,2018-02-28 02:00:34,2018-02-26 20:02:00,,California,No Subject Provided,N
