Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Subject,Recorded_Message_Or_Robocall
8002165232,2018-03-06 00:00:10,2018-03-05 08:00:00,washington,Utah,Warranties  & protection plans,N
7026024641,2018-03-06 00:01:10,2018-03-05 20:02:00,Grants Pass,Oregon,Dropped call or no message,N
2052898094,2018-03-06 00:01:15,2018-03-05 10:33:00,Sterrett,Alabama,No Subject Provided,Y
7026024603,2018-03-06 00:01:57,2018-03-04 18:09:00,Grants Pass,Oregon,Dropped call or no message,N
2014799323,2018-03-06 00:02:07,2018-03-05 11:34:00,Wetumpka,Alabama,Medical  & prescriptions,Y
7026024640,2018-03-06 00:02:34,2018-03-02 18:52:00,Grants Pass,Oregon,Dropped call or no message,N
9796946846,2018-03-06 00:03:28,2018-02-27 15:35:00,,Texas,No Subject Provided,N
2055101545,2018-03-06 00:02:48,2018-03-05 19:01:00,Sterrett,Alabama,No Subject Provided,Y
4806551295,2018-03-06 00:04:43,2018-03-05 18:02:00,,Arizona,No Subject Provided,N
2297004004,2018-03-06 00:05:09,2018-03-05 11:46:00,Wetumpka,Alabama,Medical  & prescriptions,Y
7174560838,2018-03-06 00:05:15,2018-02-28 09:47:00,,Texas,No Subject Provided,N
7024681409,2018-03-06 00:06:40,2018-03-05 20:54:00,Las Vegas,Nevada,Home improvement  & cleaning,Y
2702267790,2018-03-06 00:07:46,2018-03-05 11:57:00,Wetumpka,Alabama,Medical  & prescriptions,Y
9167012059,2018-03-06 00:08:30,2018-03-05 20:51:00,Riverbank,California,Medical  & prescriptions,N
5623522907,2018-03-06 00:08:53,2018-02-26 11:16:00,Long Beach,California,Dropped call or no message,N
7754104122,2018-03-06 00:09:06,2018-03-01 09:39:00,Fairview,Tennessee,Other,Y
8015960914,2018-03-06 00:09:10,2018-03-05 20:47:00,Topeka,Kansas,Dropped call or no message,N
4178444531,2018-03-06 00:10:40,2018-03-05 12:56:00,Wetumpka,Alabama,Medical  & prescriptions,Y
3234028282,2018-03-06 00:10:47,2018-03-05 09:11:00,Long Beach,California,Dropped call or no message,N
2133932757,2018-03-06 00:12:02,2018-03-05 16:00:00,,California,Vacation  & timeshares,N
7193239113,2018-03-06 00:14:04,2018-03-05 13:38:00,,Colorado,No Subject Provided,Y
2569987820,2018-03-06 00:14:10,2018-03-05 13:05:00,Wetumpka,Alabama,Medical  & prescriptions,Y
3345670913,2018-03-06 00:16:43,2018-03-05 14:35:00,Wetumpka,Alabama,Medical  & prescriptions,Y
3343758223,2018-03-06 00:19:00,2018-03-05 15:20:00,Wetumpka,Alabama,Medical  & prescriptions,Y
5416503251,2018-03-06 00:21:48,2018-03-05 13:33:00,,Oregon,No Subject Provided,Y
,2018-03-06 00:22:20,2018-03-05 16:48:00,Federal Heights,Colorado,Other,N
4132137106,2018-03-06 00:22:22,2018-03-05 15:34:00,Wetumpka,Alabama,Medical  & prescriptions,Y
3522257044,2018-03-06 00:24:30,2018-03-05 16:18:00,Wetumpka,Alabama,Medical  & prescriptions,Y
7028889595,2018-03-06 00:24:49,2018-03-05 12:12:00,Lasvegss,Nevada,Home improvement  & cleaning,Y
8779265171,2018-03-06 00:25:34,2018-03-05 15:02:00,Snohomish,Washington,No Subject Provided,N
5412283295,2018-03-06 00:25:39,2018-03-05 19:16:00,,Oregon,No Subject Provided,Y
8448724688,2018-03-06 00:27:27,2018-03-05 17:02:00,Wetumpka,Alabama,Medical  & prescriptions,Y
7077247151,2018-03-06 00:28:12,2018-03-05 08:23:00,Vacaville,California,No Subject Provided,N
5402517312,2018-03-06 00:28:47,2018-03-05 09:28:00,Fredericksburg,Virginia,No Subject Provided,Y
6092790110,2018-03-06 00:31:08,2018-03-05 19:10:00,Las Vegas,Nevada,Dropped call or no message,Y
2185685392,2018-03-06 00:31:33,2018-03-05 16:06:00,,Arizona,Medical  & prescriptions,Y
8668769896,2018-03-06 00:39:46,2018-03-05 15:19:00,,Washington,Computer  & technical support,Y
5022088414,2018-03-06 00:40:25,2018-03-05 15:29:00,Monument,Colorado,"Calls pretending to be government, businesses, or family and friends",Y
2532016984,2018-03-06 00:43:13,2018-03-05 13:19:00,,Washington,"Reducing your debt (credit cards, mortgage, student loans)",Y
9045864000,2018-03-06 00:44:39,2018-03-05 17:18:00,Los Angeles,California,Dropped call or no message,Y
8053513556,2018-03-06 00:45:35,2018-03-05 12:25:00,Camarillo,California,Dropped call or no message,Y
6464974085,2018-03-06 00:46:24,2018-03-05 08:30:00,Camarillo,California,Dropped call or no message,Y
,2018-03-06 00:47:01,2018-03-05 13:00:00,,Utah,"Reducing your debt (credit cards, mortgage, student loans)",Y
8053125579,2018-03-06 00:47:06,2018-03-04 13:55:00,Camarillo,California,Dropped call or no message,Y
8052127110,2018-03-06 00:47:46,2018-03-05 16:32:00,Camarillo,California,Dropped call or no message,Y
678904678,2018-03-06 00:48:04,2018-03-05 14:23:00,Jonesboro,Georgia,Medical  & prescriptions,N
5183003723,2018-03-06 00:48:15,2018-03-01 13:30:00,Burleson,Texas,"Calls pretending to be government, businesses, or family and friends",Y
678904678,2018-03-06 00:50:04,2018-03-05 06:29:00,Jonesboro,Georgia,Medical  & prescriptions,N
8888288754,2018-03-06 00:52:09,2018-03-05 16:55:00,Jonesboro,Georgia,Medical  & prescriptions,N
5033422449,2018-03-06 00:56:01,2018-03-05 11:43:00,Henderson,Nevada,"Reducing your debt (credit cards, mortgage, student loans)",Y
7206444460,2018-03-06 00:57:30,2018-03-05 16:44:00,Centennial,Colorado,Other,N
8447766275,2018-03-06 00:58:19,2018-03-05 21:27:00,,California,No Subject Provided,Y
7192494298,2018-03-06 00:58:19,2018-03-01 09:30:00,Burleson,Texas,"Calls pretending to be government, businesses, or family and friends",N
7192492459,2018-03-06 00:59:15,2018-03-05 13:33:00,Longmont,Colorado,"Energy, solar,  & utilities",Y
7142727154,2018-03-06 00:59:46,2018-03-05 21:55:00,,California,No Subject Provided,N
7026024640,2018-03-06 01:01:51,2018-03-05 19:43:00,Longmont,Colorado,Vacation  & timeshares,N
8312010685,2018-03-06 01:03:52,2018-03-01 11:58:00,Santa Cruz,California,Dropped call or no message,N
3038770476,2018-03-06 01:04:56,2018-03-05 10:41:00,Longmont,Colorado,Home security  & alarms,Y
8318242191,2018-03-06 01:05:04,2018-03-02 09:53:00,Santa Cruz,California,Dropped call or no message,N
8887966854,2018-03-06 01:05:24,2018-03-05 16:54:00,Los Angeles,California,Dropped call or no message,Y
7164423835,2018-03-06 00:49:05,2018-03-04 14:15:00,,Louisiana,No Subject Provided,N
4108187137,2018-03-06 01:06:04,2018-03-05 18:41:00,,Maryland,"Calls pretending to be government, businesses, or family and friends",Y
8318242180,2018-03-06 01:06:14,2018-03-03 12:59:00,Santa Cruz,California,Dropped call or no message,N
5625474125,2018-03-06 01:07:13,2018-03-05 11:18:00,Longmont,Colorado,"Reducing your debt (credit cards, mortgage, student loans)",N
8312010682,2018-03-06 01:07:38,2018-03-05 12:59:00,Santa Cruz,California,Dropped call or no message,N
2096075007,2018-03-06 01:08:00,2018-03-05 10:42:00,denair,California,Dropped call or no message,Y
8448740222,2018-03-06 01:08:10,2018-03-05 17:25:00,South Dartmouth,Massachusetts,Computer  & technical support,Y
7089263494,2018-03-06 01:08:16,2018-03-05 16:23:00,Burbank,Illinois,"Reducing your debt (credit cards, mortgage, student loans)",N
6313010159,2018-03-06 01:10:31,2018-03-05 16:28:00,Burbank,Illinois,Other,Y
9082454084,2018-03-06 01:12:03,2018-03-05 16:58:00,Burbank,Illinois,Medical  & prescriptions,N
6507402245,2018-03-06 01:12:32,2018-03-05 15:21:00,San Carlos,California,"Calls pretending to be government, businesses, or family and friends",Y
5208615668,2018-03-06 01:14:24,2018-03-05 15:37:00,Waukesha,Wisconsin,"Reducing your debt (credit cards, mortgage, student loans)",Y
5713771474,2018-03-06 01:14:42,2018-03-05 15:49:00,,Virginia,"Calls pretending to be government, businesses, or family and friends",Y
6193244445,2018-03-06 01:14:45,2018-03-05 10:05:00,,California,Dropped call or no message,N
5623024807,2018-03-06 01:16:48,2018-03-05 16:17:00,,California,No Subject Provided,N
8007330814,2018-03-06 01:18:56,2018-03-04 15:23:00,Los Angeles,California,Dropped call or no message,Y
5234092169,2018-03-06 01:18:59,2018-03-05 22:00:00,Springfield,Oregon,Computer  & technical support,N
6195435300,2018-03-06 01:19:37,2018-02-26 19:40:00,San Diego,California,"Energy, solar,  & utilities",Y
,2018-03-06 01:21:14,2018-02-19 10:49:00,Phoenix,Arizona,No Subject Provided,N
8182644610,2018-03-06 01:21:43,2018-03-05 15:41:00,,California,Dropped call or no message,Y
5035453350,2018-03-06 01:24:33,2018-03-05 10:31:00,Portland,Oregon,Vacation  & timeshares,Y
3104896587,2018-03-06 01:26:40,2018-03-05 19:59:00,,California,No Subject Provided,N
3102100250,2018-03-06 01:27:06,2018-03-03 16:45:00,Los Angeles,California,Dropped call or no message,Y
4708543266,2018-03-06 01:28:03,2018-03-05 16:53:00,Elk Rapids,Michigan,"Reducing your debt (credit cards, mortgage, student loans)",Y
3236568952,2018-03-06 01:30:31,2018-03-05 15:52:00,,California,No Subject Provided,N
5733706322,2018-03-06 01:32:27,2018-03-05 14:40:00,Elk Rapids,Michigan,"Reducing your debt (credit cards, mortgage, student loans)",Y
2064587566,2018-03-06 01:35:15,2018-03-05 11:30:00,,Washington,Dropped call or no message,Y
5733706322,2018-03-06 01:35:48,2018-03-05 14:28:00,Elk Rapids,Michigan,"Reducing your debt (credit cards, mortgage, student loans)",Y
8182757335,2018-03-06 01:36:47,2018-03-05 15:52:00,,California,No Subject Provided,N
2316522100,2018-03-06 01:37:07,2018-03-05 14:16:00,Elk Rapids,Michigan,"Reducing your debt (credit cards, mortgage, student loans)",Y
2317041954,2018-03-06 01:38:54,2018-03-05 13:31:00,Elk Rapids,Michigan,"Reducing your debt (credit cards, mortgage, student loans)",Y
3237313031,2018-03-06 01:41:14,2018-03-05 12:37:00,,California,No Subject Provided,N
2316383912,2018-03-06 01:41:15,2018-03-02 18:32:00,Elk Rapids,Michigan,"Reducing your debt (credit cards, mortgage, student loans)",Y
2312065073,2018-03-06 01:42:17,2018-03-02 17:05:00,Elk Rapids,Michigan,"Reducing your debt (credit cards, mortgage, student loans)",Y
2415716445,2018-03-06 01:43:18,2018-03-02 14:30:00,Elk Rapids,Michigan,"Reducing your debt (credit cards, mortgage, student loans)",Y
2317041954,2018-03-06 01:44:12,2018-03-02 14:00:00,Elk Rapids,Michigan,"Reducing your debt (credit cards, mortgage, student loans)",Y
4708543266,2018-03-06 01:45:30,2018-03-02 12:35:00,Elk Rapids,Michigan,"Reducing your debt (credit cards, mortgage, student loans)",Y
2133061510,2018-03-06 01:46:39,2018-03-01 12:35:00,Los Angeles,California,Other,Y
2065735236,2018-03-06 01:47:06,2018-03-02 11:39:00,Elk Rapids,Michigan,"Reducing your debt (credit cards, mortgage, student loans)",Y
3237316555,2018-03-06 01:48:14,2018-03-05 11:38:00,,California,No Subject Provided,N
4239632765,2018-03-06 01:47:40,2018-03-02 14:39:00,Deer Park,Washington,No Subject Provided,N
9495176432,2018-03-06 01:47:53,2018-03-05 00:00:00,Anderson,California,Other,N
8508123321,2018-03-06 01:48:29,2018-03-02 11:31:00,Elk Rapids,Michigan,"Reducing your debt (credit cards, mortgage, student loans)",Y
