Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Subject,Recorded_Message_Or_Robocall
7027815884,2018-03-05 02:52:38,2018-03-04 15:36:00,Las Vegas,Nevada,Dropped call or no message,Y
6264146889,2018-03-05 02:54:12,2018-02-28 16:08:00,West Covina,California,No Subject Provided,Y
60888888888888888826,2018-03-05 02:56:21,2018-03-01 13:57:00,West Covina,California,No Subject Provided,Y
,2018-03-05 02:56:31,2018-03-05 06:07:00,,Oregon,"Calls pretending to be government, businesses, or family and friends",Y
7603028935,2018-03-05 03:57:26,2018-03-02 10:54:00,,Hawaii,No Subject Provided,Y
7033483889,2018-03-05 04:00:17,2018-02-22 01:06:00,,Virginia,Vacation  & timeshares,Y
7039699262,2018-03-05 04:05:44,2018-03-03 13:52:00,,Virginia,No Subject Provided,Y
8044809506,2018-03-05 04:08:27,2018-03-03 13:52:00,,Virginia,"Reducing your debt (credit cards, mortgage, student loans)",N
2812040500,2018-03-05 04:44:41,2018-03-04 18:16:00,palm city,Florida,No Subject Provided,Y
2812040500,2018-03-05 04:45:40,2018-03-04 17:46:00,palm city,Florida,No Subject Provided,Y
3138885234,2018-03-05 04:46:21,2018-03-03 11:34:00,Simpsonville,South Carolina,No Subject Provided,N
8649622097,2018-03-05 04:47:18,2018-03-04 11:14:00,Simpsonville,South Carolina,No Subject Provided,N
8438851516,2018-03-05 04:48:25,2018-03-04 16:29:00,Simpsonville,South Carolina,No Subject Provided,N
3347741679,2018-03-05 04:56:04,2018-02-04 02:58:00,Easr peoria,Illinois,No Subject Provided,N
2067996416,2018-03-05 05:00:34,2018-03-03 09:21:00,Shoreline,Washington,Vacation  & timeshares,N
5615136109,2018-03-05 05:21:04,2018-03-03 15:49:00,,Florida,No Subject Provided,Y
5617363066,2018-03-05 05:22:44,2018-03-03 14:34:00,,Florida,No Subject Provided,N
5617764154,2018-03-05 05:24:03,2018-03-02 14:39:00,,Florida,No Subject Provided,Y
2144405555,2018-03-05 05:24:10,2018-03-02 18:14:00,Hot Springs,Arkansas,Other,Y
5618481896,2018-03-05 05:25:35,2018-03-02 13:06:00,,Florida,No Subject Provided,Y
2622000860,2018-03-05 05:26:43,2018-02-24 15:22:00,Hot Springs,Arkansas,Warranties  & protection plans,Y
5018768073,2018-03-05 05:31:00,2018-03-02 20:09:00,Hot Springs,Arkansas,Home security  & alarms,N
4132137106,2018-03-05 05:32:44,2018-02-28 15:50:00,Hot Springs,Arkansas,Medical  & prescriptions,Y
5025419838,2018-03-05 06:06:15,2018-03-02 16:10:00,,Kentucky,No Subject Provided,Y
3214398785,2018-03-05 06:11:37,2018-02-26 13:54:00,Winter Springs,Florida,"Reducing your debt (credit cards, mortgage, student loans)",Y
8007276695,2018-03-05 06:12:47,2018-02-26 19:03:00,Winter Springs,Florida,"Reducing your debt (credit cards, mortgage, student loans)",Y
3214395111,2018-03-05 06:14:05,2018-03-02 14:56:00,Winter Springs,Florida,"Reducing your debt (credit cards, mortgage, student loans)",Y
8665403229,2018-03-05 06:15:28,2018-03-03 15:49:00,Winter Springs,Florida,"Reducing your debt (credit cards, mortgage, student loans)",Y
8665403229,2018-03-05 06:15:42,2018-03-03 15:49:00,Winter Springs,Florida,"Reducing your debt (credit cards, mortgage, student loans)",Y
5123573103,2018-03-05 06:17:09,2018-03-02 09:36:00,,Michigan,Dropped call or no message,N
4132107890,2018-03-05 06:17:28,2018-02-05 06:11:00,,Massachusetts,Medical  & prescriptions,Y
7154035589,2018-03-05 06:22:14,2018-03-03 15:04:00,,Wisconsin,Dropped call or no message,N
6183900332,2018-03-05 06:29:29,2018-03-03 10:31:00,Brick,New Jersey,No Subject Provided,Y
2819162838,2018-03-05 06:36:55,2018-03-05 05:33:00,GEORGETOWN,Texas,"Reducing your debt (credit cards, mortgage, student loans)",Y
5183914428,2018-03-05 06:41:32,2018-03-04 13:46:00,Clifton Park,New York,Vacation  & timeshares,Y
5183911869,2018-03-05 06:43:29,2018-03-02 09:28:00,Clifton Park,New York,"Reducing your debt (credit cards, mortgage, student loans)",Y
7409722423,2018-03-05 06:51:47,2018-03-02 15:58:00,,Ohio,"Reducing your debt (credit cards, mortgage, student loans)",Y
9282670001,2018-03-05 06:52:18,2018-03-01 08:00:00,Peoria,Arizona,Warranties  & protection plans,N
9542281955,2018-03-05 07:01:45,2018-03-01 15:12:00,Coral Springs,Florida,"Reducing your debt (credit cards, mortgage, student loans)",N
2038680121,2018-03-05 07:06:41,2018-02-28 00:00:00,,Connecticut,No Subject Provided,
2035147374,2018-03-05 07:07:46,2018-03-02 00:00:00,,Connecticut,No Subject Provided,
6103478240,2018-03-05 07:09:14,2018-03-03 00:00:00,,Pennsylvania,No Subject Provided,Y
6109339987,2018-03-05 07:10:34,2018-03-03 00:00:00,,Pennsylvania,No Subject Provided,Y
4132137106,2018-03-05 07:11:52,2018-03-03 00:00:00,,Pennsylvania,No Subject Provided,Y
6193292421,2018-03-05 07:13:03,2018-03-05 07:06:00,,Kentucky,Dropped call or no message,N
6149077343,2018-03-05 07:13:52,2018-03-05 07:00:00,,Ohio,Computer  & technical support,N
3472868923,2018-03-05 07:16:21,2018-03-04 14:44:00,,New York,No Subject Provided,Y
8433715304,2018-03-05 07:19:05,2018-03-04 16:40:00,,South Carolina,"Calls pretending to be government, businesses, or family and friends",Y
,2018-03-05 07:19:53,2018-03-05 07:01:00,,Maryland,No Subject Provided,N
5163530139,2018-03-05 07:20:45,2018-02-12 19:44:00,cumming,Georgia,"Reducing your debt (credit cards, mortgage, student loans)",Y
3152331080,2018-03-05 07:23:38,2018-03-05 07:20:00,,New York,No Subject Provided,Y
4103408149,2018-03-05 07:25:46,2018-03-01 13:42:00,Severna Park,Maryland,"Reducing your debt (credit cards, mortgage, student loans)",Y
9543470239,2018-03-05 07:26:02,2018-02-23 15:28:00,Coral Springs,Florida,"Reducing your debt (credit cards, mortgage, student loans)",N
2542367499,2018-03-05 07:27:33,2018-03-01 12:25:00,Severna Park,Maryland,Computer  & technical support,N
6622148391,2018-03-05 07:28:33,2018-03-05 06:00:00,Jacksonville,Arkansas,No Subject Provided,Y
2542367499,2018-03-05 07:28:58,2018-03-01 13:10:00,Severna Park,Maryland,Computer  & technical support,N
7708831318,2018-03-05 07:29:10,2018-03-04 10:12:00,Suwanee,Georgia,Vacation  & timeshares,Y
2542367499,2018-03-05 07:29:55,2018-03-01 14:04:00,Severna Park,Maryland,Computer  & technical support,N
2542367499,2018-03-05 07:31:22,2018-03-01 15:56:00,Severna Park,Maryland,Computer  & technical support,N
4132137106,2018-03-05 07:32:39,2018-03-02 11:08:00,,Alabama,Medical  & prescriptions,N
6193292421,2018-03-05 07:34:40,2018-03-05 07:27:00,Kenmore,New York,No Subject Provided,N
7734669131,2018-03-05 07:35:24,2018-03-04 12:00:00,,Illinois,No Subject Provided,Y
9792322485,2018-03-05 07:35:25,2018-03-02 13:00:00,,Maryland,"Reducing your debt (credit cards, mortgage, student loans)",Y
9792322485,2018-03-05 07:35:53,2018-03-02 13:25:00,,Maryland,"Reducing your debt (credit cards, mortgage, student loans)",Y
9792322485,2018-03-05 07:36:17,2018-03-02 14:02:00,,Maryland,"Reducing your debt (credit cards, mortgage, student loans)",Y
9792322485,2018-03-05 07:36:41,2018-03-02 15:10:00,,Maryland,"Reducing your debt (credit cards, mortgage, student loans)",Y
9792322485,2018-03-05 07:37:05,2018-03-02 15:48:00,,Maryland,"Reducing your debt (credit cards, mortgage, student loans)",Y
9792322485,2018-03-05 07:37:30,2018-03-02 16:06:00,,Maryland,"Reducing your debt (credit cards, mortgage, student loans)",Y
9792322485,2018-03-05 07:38:02,2018-03-02 16:40:00,,Maryland,"Reducing your debt (credit cards, mortgage, student loans)",Y
4123977120,2018-03-05 07:40:43,2018-03-03 15:25:00,,Pennsylvania,Dropped call or no message,N
7142760106,2018-03-05 07:40:44,2018-03-05 01:11:00,NAPLES,Florida,No Subject Provided,Y
7142760106,2018-03-05 07:41:42,2018-03-05 01:13:00,NAPLES,Florida,No Subject Provided,Y
7142760106,2018-03-05 07:42:28,2018-03-05 01:14:00,NAPLES,Florida,No Subject Provided,Y
3478095465,2018-03-05 07:42:50,2018-03-02 16:00:00,charlotte,North Carolina,Other,N
2564561809,2018-03-05 07:43:01,2018-03-03 12:00:00,Hudson,North Carolina,"Reducing your debt (credit cards, mortgage, student loans)",Y
7142760106,2018-03-05 07:43:08,2018-03-05 01:17:00,NAPLES,Florida,No Subject Provided,Y
7142760106,2018-03-05 07:43:50,2018-03-05 01:18:00,NAPLES,Florida,No Subject Provided,Y
7142760106,2018-03-05 07:44:34,2018-03-05 01:20:00,NAPLES,Florida,No Subject Provided,Y
7142760106,2018-03-05 07:45:14,2018-03-05 01:20:00,NAPLES,Florida,No Subject Provided,Y
3478095465,2018-03-05 07:45:20,2018-03-02 16:19:00,charlotte,North Carolina,Other,Y
,2018-03-05 07:45:26,2018-03-05 07:00:00,Florida,Florida,Other,N
7142760106,2018-03-05 07:45:57,2018-03-05 01:21:00,NAPLES,Florida,No Subject Provided,Y
7142760106,2018-03-05 07:46:44,2018-03-05 01:25:00,NAPLES,Florida,No Subject Provided,Y
7142760106,2018-03-05 07:47:26,2018-03-05 01:26:00,NAPLES,Florida,No Subject Provided,Y
7142760106,2018-03-05 07:48:09,2018-03-05 01:27:00,NAPLES,Florida,No Subject Provided,Y
7142760106,2018-03-05 07:48:58,2018-03-05 01:30:00,NAPLES,Florida,No Subject Provided,Y
7142760106,2018-03-05 07:49:43,2018-03-05 01:31:00,NAPLES,Florida,No Subject Provided,Y
8504807267,2018-03-05 07:50:15,2018-03-04 12:09:00,Colorado Springs,Colorado,No Subject Provided,Y
7142760106,2018-03-05 07:50:26,2018-03-05 01:11:00,NAPLES,Florida,No Subject Provided,Y
8553238832,2018-03-05 07:50:58,2018-03-02 15:08:00,Charlotte,North Carolina,Other,N
8504807267,2018-03-05 07:50:59,2018-03-04 13:08:00,Colorado Springs,Colorado,No Subject Provided,Y
8504807267,2018-03-05 07:51:42,2018-03-04 14:03:00,Colorado Springs,Colorado,No Subject Provided,Y
2343341157,2018-03-05 07:52:15,2018-03-04 21:10:00,MEDINA,Ohio,Home security  & alarms,N
8504807267,2018-03-05 07:52:24,2018-03-04 14:55:00,Colorado Springs,Colorado,No Subject Provided,Y
7204038543,2018-03-05 07:53:06,2018-03-04 15:59:00,Colorado Springs,Colorado,No Subject Provided,Y
9732644999,2018-03-05 07:57:09,2018-03-04 19:51:00,clifton,New Jersey,No Subject Provided,N
7327498044,2018-03-05 07:58:27,2018-03-01 14:18:00,clifton,New Jersey,No Subject Provided,N
8456282272,2018-03-05 07:58:43,2018-03-02 09:17:00,Mahopac,New York,Vacation  & timeshares,Y
3308763235,2018-03-05 08:04:36,2018-03-05 08:01:00,New Castle,Pennsylvania,Home security  & alarms,N
8009423767,2018-03-05 08:04:45,2018-03-05 07:52:00,Rocky Mount,Virginia,Work from home  & other ways to make money,Y
,2018-03-05 08:05:47,2018-03-03 10:57:00,,Virginia,No Subject Provided,Y
8609340303,2018-03-05 08:06:23,2018-02-21 16:03:00,New Milford,Connecticut,Medical  & prescriptions,N
3476511084,2018-03-05 08:07:59,2018-03-02 12:12:00,,Missouri,No Subject Provided,
4053579195,2018-03-05 08:08:54,2018-03-01 11:15:00,,North Carolina,Dropped call or no message,Y
,2018-03-05 08:08:54,2018-03-03 10:55:00,,Virginia,No Subject Provided,Y
6057777197,2018-03-05 08:09:45,2018-03-02 09:01:00,Concord,Virginia,No Subject Provided,N
